Label;ID;TRACK_ID;QUALITY;POSITION_X;POSITION_Y;POSITION_Z;POSITION_T;FRAME;RADIUS;VISIBILITY;MEAN_INTENSITY01;MEAN_INTENSITY02;MEAN_INTENSITY03;MEAN_INTENSITY04;MEAN_INTENSITY05;MEAN_INTENSITY06;MEAN_INTENSITY07;MEAN_INTENSITY08;MEAN_INTENSITY09;MEAN_INTENSITY10;MANUAL_COLOR;MEAN_INTENSITY;MEDIAN_INTENSITY;MIN_INTENSITY;MAX_INTENSITY;TOTAL_INTENSITY;STANDARD_DEVIATION;ESTIMATED_DIAMETER;CONTRAST;SNR
ID261;261;171;20,306;308,1;271,05;0;0;0;7;1;267,857;13,55;790,666;7,38;None;None;None;None;None;None;-10921639;790,666;829;254;1206;326545;214,97;11,28;0,633;2,852
ID1382;1382;171;20,548;307,45;271,7;0;600;1;7;1;281,383;14,913;817,499;6,165;None;None;None;None;None;None;-10921639;817,499;858;269;1204;337627;208,078;11,294;0,627;3,027
ID826;826;171;20,485;306,8;271,05;0;1200;2;7;1;283,99;14,891;818,213;7,516;None;None;None;None;None;None;-10921639;818,213;866;203;1153;337922;206,845;11,301;0,631;3,062
ID1567;1567;171;20,698;306,15;271,05;0;1800;3;7;1;294,128;13,383;837,056;7,341;None;None;None;None;None;None;-10921639;837,056;882;309;1175;345704;193,963;11,318;0,631;3,341
ID1196;1196;171;20,338;305,5;269,75;0;2400;4;7;1;285,31;13,484;826,15;6,765;None;None;None;None;None;None;-10921639;826,15;882;301;1133;341200;193,984;11,324;0,626;3,28
ID450;450;171;20,147;305,5;270,4;0;3000;5;7;1;295,978;14,278;844,4;7,087;None;None;None;None;None;None;-10921639;844,4;892;337;1132;348737;176,981;11,354;0,613;3,627
ID1010;1010;171;19,705;304,85;270,4;0;3600;6;7;1;292,605;15,487;841,254;7,121;None;None;None;None;None;None;-10921639;841,254;887;394;1091;347438;158,057;11,383;0,614;4,048
ID693;693;171;20,011;304,2;270,4;0;4200;7;7;1;299,09;12,666;849,242;7,143;None;None;None;None;None;None;-10921639;849,242;901;363;1087;350737;161,151;11,381;0,627;4,063
ID1759;1759;171;19,472;304,85;270,4;0;4800;8;7;1;289,925;12,881;834,656;6,516;None;None;None;None;None;None;-10921639;834,656;887;309;1061;344713;162,285;11,37;0,614;3,913
ID2131;2131;171;19,297;304,2;269,75;0;5400;9;7;1;286,039;12,107;831,741;6,918;None;None;None;None;None;None;-10921639;831,741;887;341;1025;343509;147,968;11,392;0,621;4,305
ID2315;2315;171;19,689;304,2;269,75;0;6000;10;7;1;288,593;14,738;837,501;6,625;None;None;None;None;None;None;-10921639;837,501;881;387;1062;345888;159,555;11,378;0,621;4,022
ID1946;1946;171;19,278;304,85;269,75;0;6600;11;7;1;290,051;14,358;843,591;6,62;None;None;None;None;None;None;-10921639;843,591;879;403;1052;348403;137,651;11,404;0,614;4,663
ID2888;2888;171;19,08;304,2;269,1;0;7200;12;7;1;298,676;14,424;857,632;6,959;None;None;None;None;None;None;-10921639;857,632;901;490;1045;354202;117,442;15,049;0,602;5,488
ID3077;3077;171;19,161;302,9;269,1;0;7800;13;7;1;295,68;14,891;849,039;7,012;None;None;None;None;None;None;-10921639;849,039;895;449;1029;350653;122,823;15,03;0,617;5,277
ID2694;2694;171;19,454;302,25;267,8;0;8400;14;7;1;303,131;16,189;861,448;7,952;None;None;None;None;None;None;-10921639;861,448;905;457;1037;355778;130,133;11,432;0,611;5,02
ID2504;2504;171;18,98;303,55;267,8;0;9000;15;7;1;297,07;14,535;855,189;6,901;None;None;None;None;None;None;-10921639;855,189;887;508;1018;353193;114,501;15,016;0,61;5,66
ID3457;3457;171;18,855;302,25;265,2;0;9600;16;7;1;293,056;13,574;847,726;7,007;None;None;None;None;None;None;-10921639;847,726;881;469;1015;350111;116,711;15,071;0,605;5,477
ID3831;3831;171;19,458;302,9;265,2;0;10200;17;7;1;307,09;13,772;866,772;7,019;None;None;None;None;None;None;-10921639;866,772;904;449;1037;357977;121,034;15,068;0,615;5,454
ID3643;3643;171;19,063;303,55;265,2;0;10800;18;7;1;297,644;15,119;858,978;6,84;None;None;None;None;None;None;-10921639;858,978;895;440;1041;354758;120,148;15,051;0,601;5,368
ID3265;3265;171;19,082;304,2;265,2;0;11400;19;7;1;293,533;15,404;848,201;7,591;None;None;None;None;None;None;-10921639;848,201;885;363;1020;350307;129,572;15,06;0,602;4,92
ID4221;4221;171;19,204;304,2;264,55;0;12000;20;7;1;296,712;15,252;854,533;6,586;None;None;None;None;None;None;-10921639;854,533;892;460;1007;352922;123,72;15,005;0,607;5,217
ID4022;4022;171;19,191;304,2;265,2;0;12600;21;7;1;300,438;14,424;859,649;7,649;None;None;None;None;None;None;-10921639;859,649;894;431;1051;355035;120,603;15,088;0,603;5,363
ID4605;4605;171;19,287;304,2;265,2;0;13200;22;7;1;301,554;14,874;862,925;6,617;None;None;None;None;None;None;-10921639;862,925;901;474;1018;356388;116,85;14,998;0,606;5,574
ID4414;4414;171;19,77;304,2;265,2;0;13800;23;7;1;301,545;16,627;859,223;6,153;None;None;None;None;None;None;-10921639;859,223;895;488;1061;354859;129,564;11,427;0,617;5,061
ID4801;4801;171;19,665;304,2;266,5;0;14400;24;7;1;295,484;15,349;851,341;7,293;None;None;None;None;None;None;-10921639;851,341;888;419;1068;351604;141,513;11,401;0,609;4,553
ID5397;5397;171;19,277;304,2;265,2;0;15000;25;7;1;293,516;17,787;850,869;6,649;None;None;None;None;None;None;-10921639;850,869;885;377;1063;351409;136,978;11,419;0,604;4,679
ID4999;4999;171;19,398;303,55;265,85;0;15600;26;7;1;299,484;15,288;857,116;6,661;None;None;None;None;None;None;-10921639;857,116;895;410;1045;353989;125,375;14,988;0,612;5,192
ID5197;5197;171;19,534;304,2;265,85;0;16200;27;7;1;300,482;14,55;858,402;6,092;None;None;None;None;None;None;-10921639;858,402;895;428;1057;354520;130,523;11,43;0,608;4,973
ID5595;5595;171;18,987;303,55;265,2;0;16800;28;7;1;295,257;17,383;854,993;7,748;None;None;None;None;None;None;-10921639;854,993;892;463;1048;353112;118,077;15,038;0,598;5,418
ID5994;5994;171;19,151;304,2;265,2;0;17400;29;7;1;295,758;14,845;851,421;8,477;None;None;None;None;None;None;-10921639;851,421;884;422;1056;351637;122,397;15,05;0,607;5,255
ID5796;5796;171;19,168;304,2;265,2;0;18000;30;7;1;300,368;16,196;858,814;7,431;None;None;None;None;None;None;-10921639;858,814;897;390;1052;354690;125,395;15,051;0,6;5,139
ID6197;6197;171;18,898;303,55;264,55;0;18600;31;7;1;294,346;17,213;851,901;6,712;None;None;None;None;None;None;-10921639;851,901;891;452;1040;351835;118,769;15,044;0,594;5,348
