Label;ID;TRACK_ID;QUALITY;POSITION_X;POSITION_Y;POSITION_Z;POSITION_T;FRAME;RADIUS;VISIBILITY;MEAN_INTENSITY01;MEAN_INTENSITY02;MEAN_INTENSITY03;MEAN_INTENSITY04;MEAN_INTENSITY05;MEAN_INTENSITY06;MEAN_INTENSITY07;MEAN_INTENSITY08;MEAN_INTENSITY09;MEAN_INTENSITY10;MANUAL_COLOR;MEAN_INTENSITY;MEDIAN_INTENSITY;MIN_INTENSITY;MAX_INTENSITY;TOTAL_INTENSITY;STANDARD_DEVIATION;ESTIMATED_DIAMETER;CONTRAST;SNR
ID866;866;48;48,251;18,2;399,75;0;0;0;7;1;14;916,225;2188,831;7,136;None;None;None;None;None;None;-10921639;2188,831;2294;1200;2565;903987;307,866;15,218;0,596;5,311
ID561;561;48;48,129;18,85;400,4;0;600;1;7;1;16,044;921,695;2194,85;8,15;None;None;None;None;None;None;-10921639;2194,85;2304;983;2519;906473;300,552;15,224;0,599;5,473
ID405;405;48;48,192;20,15;400,4;0;1200;2;7;1;16,879;944,305;2227,177;7,903;None;None;None;None;None;None;-10921639;2227,177;2322;1229;2515;919824;266,227;15,295;0,596;6,25
ID1167;1167;48;49,696;19,5;399,75;0;1800;3;7;1;17,479;981,443;2269,274;7,765;None;None;None;None;None;None;-10921639;2269,274;2350;1156;2659;937210;288,116;15,244;0,6;5,905
ID1324;1324;48;49,866;18,85;401,05;0;2400;4;7;1;17,508;959,688;2241,661;7,32;None;None;None;None;None;None;-10921639;2241,661;2340;1088;2608;925806;299,014;15,201;0,61;5,681
ID1017;1017;48;49,958;19,5;399,75;0;3000;5;7;1;19,409;985,939;2281,218;6,753;None;None;None;None;None;None;-10921639;2281,218;2367;1308;2606;942143;264,145;15,29;0,605;6,511
ID712;712;48;49,315;19,5;400,4;0;3600;6;7;1;18,855;954,881;2238,102;7,056;None;None;None;None;None;None;-10921639;2238,102;2341;1238;2609;924336;311,371;15,24;0,596;5,37
ID252;252;48;48,775;19,5;401,05;0;4200;7;7;1;19,855;961,654;2252,429;8,102;None;None;None;None;None;None;-10921639;2252,429;2350;1123;2588;930253;294,204;15,274;0,595;5,711
ID1957;1957;48;49,503;20,15;401,05;0;4800;8;7;1;26,235;961,344;2255,482;7,061;None;None;None;None;None;None;-10921639;2255,482;2376;1200;2603;931514;319,31;15,26;0,596;5,278
ID2110;2110;48;49,197;20,15;401,05;0;5400;9;7;1;24,981;961,816;2253,366;7,269;None;None;None;None;None;None;-10921639;2253,366;2365;969;2593;930640;324,544;15,259;0,595;5,183
