Label;ID;TRACK_ID;QUALITY;POSITION_X;POSITION_Y;POSITION_Z;POSITION_T;FRAME;RADIUS;VISIBILITY;MEAN_INTENSITY01;MEAN_INTENSITY02;MEAN_INTENSITY03;MEAN_INTENSITY04;MEAN_INTENSITY05;MEAN_INTENSITY06;MEAN_INTENSITY07;MEAN_INTENSITY08;MEAN_INTENSITY09;MEAN_INTENSITY10;MANUAL_COLOR;MEAN_INTENSITY;MEDIAN_INTENSITY;MIN_INTENSITY;MAX_INTENSITY;TOTAL_INTENSITY;STANDARD_DEVIATION;ESTIMATED_DIAMETER;CONTRAST;SNR
ID1655454;1655454;214;25,164;60,45;633,1;0;0;0;7;1;262,639;15,479;1033,247;7,731;None;None;None;None;None;None;-10921639;1033,247;1099;311;1483;426731;273,467;11,296;0,617;2,883
ID1654261;1654261;214;25,511;61,1;635,7;0;600;1;7;1;265,165;15,005;1029,148;6,814;None;None;None;None;None;None;-10921639;1029,148;1087;281;1521;425038;296,106;11,25;0,612;2,64
ID1654502;1654502;214;24,402;61,75;636,35;0;1200;2;7;1;254,046;17,525;1016,467;7,755;None;None;None;None;None;None;-10921639;1016,467;1072;265;1453;419801;262,183;11,287;0,598;2,903
ID1654974;1654974;214;24,563;61,75;635,05;0;1800;3;7;1;249,625;15,094;1005,206;7,821;None;None;None;None;None;None;-10921639;1005,206;1077;281;1410;415150;263,341;11,294;0,615;2,907
ID1654739;1654739;214;23,973;61,1;638,95;0;2400;4;7;1;253,266;15,104;1021,605;7,952;None;None;None;None;None;None;-10921639;1021,605;1070;403;1351;421923;225,152;11,316;0,596;3,39
ID1655693;1655693;214;22,346;60,45;638,95;0;3000;5;7;1;237,138;14,387;990,339;6,429;None;None;None;None;None;None;-10921639;990,339;1068;357;1313;409010;205,704;11,339;0,578;3,527
ID1655220;1655220;214;22,861;59,8;640,25;0;3600;6;7;1;244,719;13,37;1002,157;7,007;None;None;None;None;None;None;-10921639;1002,157;1079;357;1324;413891;218,35;11,342;0,588;3,399
ID1654029;1654029;214;21,58;59,15;639,6;0;4200;7;7;1;234,697;13,518;983,569;7,218;None;None;None;None;None;None;-10921639;983,569;1050;369;1258;406214;197,5;11,375;0,573;3,627
ID1655934;1655934;214;22,015;59,15;639,6;0;4800;8;7;1;237,954;11,092;984,92;7,315;None;None;None;None;None;None;-10921639;984,92;1066;345;1261;406772;216,11;11,361;0,574;3,323
ID1657155;1657155;214;21,716;58,5;639,6;0;5400;9;7;1;232,201;14,416;978,748;7,944;None;None;None;None;None;None;-10921639;978,748;1041;304;1235;404223;197,67;11,37;0,571;3,6
ID1656662;1656662;214;21,298;58,5;639,6;0;6000;10;7;1;229,68;13,424;972,794;7,651;None;None;None;None;None;None;-10921639;972,794;1052;273;1197;401764;184,985;11,398;0,575;3,838
ID1656182;1656182;214;21,888;58,5;640,25;0;6600;11;7;1;238,506;13,375;992,131;6,344;None;None;None;None;None;None;-10921639;992,131;1064;345;1256;409750;191,701;11,375;0,57;3,758
ID1656423;1656423;214;22,757;58,5;639,6;0;7200;12;7;1;248,329;13,337;1005,683;7,492;None;None;None;None;None;None;-10921639;1005,683;1091;375;1238;415347;213,307;11,358;0,588;3,492
ID1656909;1656909;214;22,57;58,5;639,6;0;7800;13;7;1;244,724;11,196;999,094;7,184;None;None;None;None;None;None;-10921639;999,094;1087;351;1249;412626;210,032;11,365;0,591;3,536
ID1657401;1657401;214;21,596;59,15;640,25;0;8400;14;7;1;236,785;12,685;991,133;6,743;None;None;None;None;None;None;-10921639;991,133;1066;311;1270;409338;200,479;11,37;0,566;3,573
ID1657647;1657647;214;21,771;59,15;639,6;0;9000;15;7;1;240,303;12,995;996,201;6,775;None;None;None;None;None;None;-10921639;996,201;1072;363;1265;411431;199,259;11,375;0,57;3,629
ID1657892;1657892;214;22,869;59,15;639,6;0;9600;16;7;1;252,782;13,242;1023,228;6,787;None;None;None;None;None;None;-10921639;1023,228;1101;332;1304;422593;200,554;11,383;0,588;3,777
ID1659122;1659122;214;22,431;58,5;639,6;0;10200;17;7;1;247,472;14,201;1014,363;7,441;None;None;None;None;None;None;-10921639;1014,363;1083;409;1277;418932;191,631;11,387;0,579;3,884
ID1658136;1658136;214;23,108;57,85;639,6;0;10800;18;7;1;248,92;14,409;1013,99;8,16;None;None;None;None;None;None;-10921639;1013,99;1081;403;1364;418778;204,405;11,358;0,591;3,684
ID1658875;1658875;214;22,776;57,85;640,9;0;11400;19;7;1;243,717;16,174;1007,128;8,513;None;None;None;None;None;None;-10921639;1007,128;1083;345;1321;415944;216,065;11,343;0,579;3,417
ID1658384;1658384;214;23,499;58,5;640,25;0;12000;20;7;1;257,068;15,562;1031,898;7,426;None;None;None;None;None;None;-10921639;1031,898;1103;363;1351;426174;215,262;11,36;0,588;3,549
ID1658632;1658632;214;24,083;57,85;639,6;0;12600;21;7;1;261,036;15,08;1035,891;7,22;None;None;None;None;None;None;-10921639;1035,891;1103;332;1306;427823;214,399;11,366;0,604;3,639
ID1659366;1659366;214;23,895;57,85;641,55;0;13200;22;7;1;257,392;14,85;1031,709;7,14;None;None;None;None;None;None;-10921639;1031,709;1101;311;1296;426096;217,562;11,359;0,592;3,528
ID1659608;1659608;214;23,458;58,5;640,9;0;13800;23;7;1;259,116;14,443;1034,978;7,232;None;None;None;None;None;None;-10921639;1034,978;1105;357;1319;427446;204,199;11,365;0,589;3,759
ID1659857;1659857;214;23,902;59,15;640,9;0;14400;24;7;1;265,886;14,857;1047,298;7,407;None;None;None;None;None;None;-10921639;1047,298;1123;381;1321;432534;221,295;11,357;0,584;3,488
ID1660099;1660099;214;24,972;59,15;640,25;0;15000;25;7;1;274,087;14,184;1063,31;7,446;None;None;None;None;None;None;-10921639;1063,31;1132;332;1331;439147;229,596;11,372;0,609;3,507
ID1660839;1660839;214;23,484;59,15;639,6;0;15600;26;7;1;259,651;15,228;1034,692;7,736;None;None;None;None;None;None;-10921639;1034,692;1119;363;1319;427328;226,126;11,35;0,583;3,369
ID1661099;1661099;214;24,832;59,15;640,25;0;16200;27;7;1;278,475;14,697;1071,383;6,354;None;None;None;None;None;None;-10921639;1071,383;1161;375;1382;442481;235,218;11,348;0,606;3,438
ID1660595;1660595;214;24,232;59,15;639,6;0;16800;28;7;1;270,288;16,458;1059,295;7,077;None;None;None;None;None;None;-10921639;1059,295;1146;345;1311;437489;226,298;11,359;0,586;3,461
ID1660349;1660349;214;24,985;58,5;640,25;0;17400;29;7;1;280,344;15,523;1072,605;8,07;None;None;None;None;None;None;-10921639;1072,605;1161;351;1433;442986;251,567;11,334;0,595;3,182
ID1661346;1661346;214;24,119;58,5;639,6;0;18000;30;7;1;274,685;13,69;1066,564;6,567;None;None;None;None;None;None;-10921639;1066,564;1148;369;1331;440491;219,304;11,372;0,592;3,619
ID1661842;1661842;214;25,741;58,5;639,6;0;18600;31;7;1;289,136;14,605;1090,857;6,656;None;None;None;None;None;None;-10921639;1090,857;1163;375;1449;450524;242,609;11,358;0,614;3,421
ID1661598;1661598;214;24,632;57,85;639,6;0;19200;32;7;1;278,363;14,295;1066,942;7,383;None;None;None;None;None;None;-10921639;1066,942;1154;311;1486;440647;260,604;11,33;0,587;3,027
ID1662096;1662096;214;24,518;58,5;640,25;0;19800;33;7;1;279,24;15,179;1074,47;7,087;None;None;None;None;None;None;-10921639;1074,47;1157;363;1413;443756;241,241;11,361;0,584;3,285
ID1662350;1662350;214;24,823;57,85;639,6;0;20400;34;7;1;280,317;13,571;1071,852;6,944;None;None;None;None;None;None;-10921639;1071,852;1148;375;1455;442675;248,818;11,354;0,594;3,211
ID1662858;1662858;214;24,541;58,5;640,9;0;21000;35;7;1;281,094;13,482;1069,324;7,31;None;None;None;None;None;None;-10921639;1069,324;1152;332;1453;441631;250,456;11,362;0,592;3,175
ID1662600;1662600;214;24,949;57,85;642,2;0;21600;36;7;1;284,789;13,324;1078,765;7,303;None;None;None;None;None;None;-10921639;1078,765;1159;297;1435;445530;245,077;11,361;0,592;3,275
ID1663112;1663112;214;25,269;58,5;641,55;0;22200;37;7;1;289,995;13,93;1087,412;7,252;None;None;None;None;None;None;-10921639;1087,412;1165;318;1462;449101;255,073;11,365;0,594;3,179
ID1663359;1663359;214;24,972;58,5;641,55;0;22800;38;7;1;285,015;13,492;1077,983;7,579;None;None;None;None;None;None;-10921639;1077,983;1163;351;1439;445207;256,964;11,342;0,585;3,097
ID1663608;1663608;214;24,673;57,85;640,9;0;23400;39;7;1;287,877;13,765;1087,223;7,472;None;None;None;None;None;None;-10921639;1087,223;1182;369;1455;449023;246,25;11,356;0,581;3,246
ID1664103;1664103;214;24,955;57,85;641,55;0;24000;40;7;1;289,453;13,433;1086,872;7,361;None;None;None;None;None;None;-10921639;1086,872;1176;338;1436;448878;253,686;11,348;0,585;3,162
ID1663856;1663856;214;26,29;57,85;642,2;0;24600;41;7;1;306,809;14,901;1127,218;8,08;None;None;None;None;None;None;-10921639;1127,218;1213;387;1493;465541;252,679;11,344;0,601;3,35
ID1664352;1664352;214;26,798;57,2;642,85;0;25200;42;7;1;310,906;15,346;1127,23;7,753;None;None;None;None;None;None;-10921639;1127,23;1215;345;1502;465546;277,085;11,33;0,608;3,075
ID1664602;1664602;214;25,864;57,2;642,2;0;25800;43;7;1;297,787;14,378;1100,874;6,799;None;None;None;None;None;None;-10921639;1100,874;1191;311;1483;454661;271,278;11,348;0,611;3,079
ID1664852;1664852;214;26,906;57,2;642,85;0;26400;44;7;1;313,07;13,196;1123,496;7,521;None;None;None;None;None;None;-10921639;1123,496;1217;311;1502;464004;297,366;11,324;0,607;2,855
ID1665103;1665103;214;26,643;57,85;642,85;0;27000;45;7;1;317,019;13,179;1134,625;7,264;None;None;None;None;None;None;-10921639;1134,625;1244;304;1520;468600;286,884;11,324;0,601;2,969
ID1665352;1665352;214;26,49;57,85;642,85;0;27600;46;7;1;313,964;12,886;1129,46;7,31;None;None;None;None;None;None;-10921639;1129,46;1215;338;1533;466467;279,143;11,334;0,598;3,029
ID1665601;1665601;214;26,929;58,5;642,2;0;28200;47;7;1;318,056;13,01;1136,557;7,879;None;None;None;None;None;None;-10921639;1136,557;1237;369;1477;469398;288,085;11,339;0,602;2,966
ID1665849;1665849;214;26,754;59,15;642,85;0;28800;48;7;1;318,39;13,804;1140,363;7,046;None;None;None;None;None;None;-10921639;1140,363;1231;338;1514;470970;273,771;11,336;0,6;3,123
ID1666605;1666605;214;25,865;58,5;642,85;0;29400;49;7;1;307,881;11,833;1118,172;8,019;None;None;None;None;None;None;-10921639;1118,172;1215;304;1455;461805;261,732;11,358;0,594;3,183
ID1666105;1666105;214;26,712;57,85;642,85;0;30000;50;7;1;317,518;12,368;1132,564;7,395;None;None;None;None;None;None;-10921639;1132,564;1228;381;1517;467749;290,528;11,323;0,601;2,927
ID1666361;1666361;214;27,257;57,2;641,55;0;30600;51;7;1;325,4;12,913;1143,196;7,421;None;None;None;None;None;None;-10921639;1143,196;1240;387;1574;472140;306,548;11,308;0,607;2,817
ID1667110;1667110;214;28,082;57,2;642,2;0;31200;52;7;1;333,228;12,743;1160,462;6,349;None;None;None;None;None;None;-10921639;1160,462;1254;363;1564;479271;301,713;11,31;0,619;2,94
ID1666856;1666856;214;27,568;56,55;642,85;0;31800;53;7;1;329,048;13,269;1157,758;7,47;None;None;None;None;None;None;-10921639;1157,758;1254;332;1568;478154;292,15;11,315;0,604;2,984
ID1667356;1667356;214;29,018;57,2;641,55;0;32400;54;7;1;344,419;14,046;1180,496;7,148;None;None;None;None;None;None;-10921639;1180,496;1287;338;1609;487545;313,869;11,303;0,627;2,898
ID1667610;1667610;214;28,93;56,55;642,2;0;33000;55;7;1;352,613;13,114;1193,891;7,695;None;None;None;None;None;None;-10921639;1193,891;1294;265;1647;493077;315,107;11,317;0,62;2,901
ID1667857;1667857;214;29,533;57,2;640,25;0;33600;56;7;1;355,608;13,969;1200,208;8,695;None;None;None;None;None;None;-10921639;1200,208;1303;289;1713;495686;327,787;11,304;0,624;2,813
ID1668113;1668113;214;28,07;58,5;640,25;0;34200;57;7;1;342,027;14,792;1184,315;6,864;None;None;None;None;None;None;-10921639;1184,315;1277;363;1599;489122;283,026;11,345;0,609;3,167
ID1668865;1668865;214;28,46;57,85;641,55;0;34800;58;7;1;340,276;12,99;1177,436;7,462;None;None;None;None;None;None;-10921639;1177,436;1260;357;1621;486281;277,667;11,339;0,627;3,267
