Label;ID;TRACK_ID;QUALITY;POSITION_X;POSITION_Y;POSITION_Z;POSITION_T;FRAME;RADIUS;VISIBILITY;MEAN_INTENSITY01;MEAN_INTENSITY02;MEAN_INTENSITY03;MEAN_INTENSITY04;MEAN_INTENSITY05;MEAN_INTENSITY06;MEAN_INTENSITY07;MEAN_INTENSITY08;MEAN_INTENSITY09;MEAN_INTENSITY10;MANUAL_COLOR;MEAN_INTENSITY;MEDIAN_INTENSITY;MIN_INTENSITY;MAX_INTENSITY;TOTAL_INTENSITY;STANDARD_DEVIATION;ESTIMATED_DIAMETER;CONTRAST;SNR
ID1827324;1827324;59;17,181;248,3;196,3;0;0;0;7;1;275,22;39,654;1256,232;7,462;None;None;None;None;None;None;-10921639;1256,232;1279;579;1960;518824;248,021;11,312;0,284;2,24
ID1828166;1828166;59;15,938;249,6;196,95;0;600;1;7;1;245,402;32,627;1166,194;7,862;None;None;None;None;None;None;-10921639;1166,194;1178;565;1856;481638;241,166;11,363;0,295;2,205
ID1827532;1827532;59;14,516;249,6;196,95;0;1200;2;7;1;225,811;30,213;1122,446;7,492;None;None;None;None;None;None;-10921639;1122,446;1135;529;1736;463570;219,352;11,363;0,279;2,235
ID1827111;1827111;59;15,51;249,6;198,25;0;1800;3;7;1;240,613;32,291;1156,257;7,053;None;None;None;None;None;None;-10921639;1156,257;1159;555;1832;477534;242,723;11,323;0,29;2,139
ID1827961;1827961;59;15,391;249,6;199,55;0;2400;4;7;1;235,932;30,801;1135,092;7,453;None;None;None;None;None;None;-10921639;1135,092;1162;396;1788;468793;261,379;11,33;0,292;1,964
ID1827753;1827753;59;15,373;250,25;199,55;0;3000;5;7;1;244,521;34,472;1172,218;8,254;None;None;None;None;None;None;-10921639;1172,218;1176;513;1788;484126;233,016;11,312;0,286;2,236
ID1828600;1828600;59;16,653;250,9;199,55;0;3600;6;7;1;241,293;29,7;1152,293;7,768;None;None;None;None;None;None;-10921639;1152,293;1186;396;1747;475897;244,34;11,307;0,314;2,251
ID1828382;1828382;59;18,16;252,2;200,2;0;4200;7;7;1;262,022;27,877;1191,041;7,477;None;None;None;None;None;None;-10921639;1191,041;1239;388;1865;491900;273,612;11,319;0,339;2,204
ID1829243;1829243;59;17,587;252,2;198,9;0;4800;8;7;1;259,6;28,196;1185,131;7,169;None;None;None;None;None;None;-10921639;1185,131;1220;442;1844;489459;256,188;11,337;0,331;2,303
ID1828806;1828806;59;16,955;252,85;198,25;0;5400;9;7;1;248,586;28,702;1162,709;7,591;None;None;None;None;None;None;-10921639;1162,709;1200;416;1782;480199;253,288;11,333;0,323;2,241
