Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
FAM200B		5	5	1066	0.5%	No
STPG2		2	2	1066	0.2%	No
INSL3		1	1	1066	<0.1%	No
KRT6C		3	3	1066	0.3%	No
ASPM		35	27	1066	2.5%	No
INSIG1		3	3	1066	0.3%	No
OGN		4	4	1066	0.4%	No
FOXM1		7	7	1066	0.7%	No
LAMA1		32	29	1066	2.7%	No
FOXL1		1	1	1066	<0.1%	No
INPP4A		8	8	1066	0.8%	Yes
INPP5A		2	2	1066	0.2%	No
INPP5B		9	9	1066	0.8%	No
FOXO3		1	1	1066	<0.1%	Yes
INPP5D		9	8	1066	0.8%	Yes
FOXO1		2	1	1066	<0.1%	Yes
INPPL1		11	11	1066	1.0%	Yes
OGDH		9	9	1066	0.8%	No
OGG1		2	2	1066	0.2%	No
PDX1		2	2	1066	0.2%	No
TNFRSF11B		5	5	1066	0.5%	No
FLNB		23	22	1066	2.1%	No
A1BG		3	3	1066	0.3%	No
FLNA		23	21	1066	2.0%	No
A2M		13	12	1066	1.1%	No
FLII		7	7	1066	0.7%	No
FLI1		4	4	1066	0.4%	Yes
METRNL		1	1	1066	<0.1%	No
FLG		76	66	1066	6.2%	No
INSL4		1	1	1066	<0.1%	No
NAT1		2	2	1066	0.2%	No
OLR1		4	4	1066	0.4%	No
INSR		12	11	1066	1.0%	Yes
OMG		2	2	1066	0.2%	No
INSRR		12	12	1066	1.1%	No
OPA1		9	9	1066	0.8%	No
EIF3E		5	4	1066	0.4%	Yes
FLOT2		3	3	1066	0.3%	No
OPCML		2	2	1066	0.2%	No
FLNC		26	25	1066	2.3%	No
SIX6		5	5	1066	0.5%	No
IRF2		3	3	1066	0.3%	Yes
OR1D2		2	1	1066	<0.1%	No
IRF3		5	5	1066	0.5%	No
IRF4		7	7	1066	0.7%	Yes
CDH2		3	3	1066	0.3%	No
FMOD		3	3	1066	0.3%	No
FMO5		6	6	1066	0.6%	No
FMO3		4	4	1066	0.4%	No
FMO2		8	8	1066	0.8%	No
FMO1		10	10	1066	0.9%	No
FLT4		1	1	1066	<0.1%	Yes
FLT3LG		3	3	1066	0.3%	No
WFDC11		2	2	1066	0.2%	No
FLT3		5	4	1066	0.4%	Yes
FLT1		6	6	1066	0.6%	Yes
IPP		5	4	1066	0.4%	No
OPHN1		6	6	1066	0.6%	No
IRAK1		2	2	1066	0.2%	No
OPRD1		4	4	1066	0.4%	No
ITGA6		11	9	1066	0.8%	No
OPRK1		5	5	1066	0.5%	No
IRAK2		3	3	1066	0.3%	No
OPRL1		5	5	1066	0.5%	No
OPRM1		5	5	1066	0.5%	No
IREB2		18	17	1066	1.6%	No
FMO4		6	5	1066	0.5%	No
IRF1		5	5	1066	0.5%	Yes
ISL1		4	4	1066	0.4%	No
ISLR		6	6	1066	0.6%	No
ITGA1		14	12	1066	1.1%	No
ITGA2		8	8	1066	0.8%	No
FNTB		5	5	1066	0.5%	No
CDH12		16	15	1066	1.4%	No
CDH10		14	14	1066	1.3%	No
FNTA		2	1	1066	<0.1%	No
CDH9		14	13	1066	1.2%	No
CDH8		12	12	1066	1.1%	No
CDH7		11	9	1066	0.8%	No
CDH6		6	6	1066	0.6%	No
FN1		16	16	1066	1.5%	No
CDH5		1	1	1066	<0.1%	No
AFF2		32	27	1066	2.5%	No
CDH4		7	7	1066	0.7%	No
MRGPRX1		7	7	1066	0.7%	No
CDH3		2	2	1066	0.2%	No
FMR1		13	12	1066	1.1%	No
IRF5		5	5	1066	0.5%	No
OR3A1		5	5	1066	0.5%	No
IRF6		3	3	1066	0.3%	No
OR3A2		2	2	1066	0.2%	No
IRF7		1	1	1066	<0.1%	No
IRS1		5	4	1066	0.4%	Yes
ORC1		11	11	1066	1.0%	No
ORC2		10	10	1066	0.9%	No
SH3PXD2B		11	10	1066	0.9%	No
CDH11		7	7	1066	0.7%	Yes
NSUN5P2		1	1	1066	<0.1%	No
PPP1R27		1	1	1066	<0.1%	No
CYP4X1		5	5	1066	0.5%	No
ITGA9		11	7	1066	0.7%	No
ITGAD		7	7	1066	0.7%	No
ITGAE		9	7	1066	0.7%	No
ITGAL		7	7	1066	0.7%	No
ITGAM		7	7	1066	0.7%	No
CDK7		3	3	1066	0.3%	No
FOS		2	2	1066	0.2%	No
GPRIN3		5	4	1066	0.4%	No
CDK6		3	3	1066	0.3%	Yes
FOLR3		4	4	1066	0.4%	No
CDK5		6	4	1066	0.4%	No
CDK3		2	2	1066	0.2%	No
CDK2		2	2	1066	0.2%	No
FOLR1		2	2	1066	0.2%	No
CDH18		4	4	1066	0.4%	No
CDH17		8	8	1066	0.8%	No
FOLH1		10	10	1066	0.9%	No
CDH16		6	6	1066	0.6%	No
CDH15		4	4	1066	0.4%	No
CDH13		6	6	1066	0.6%	No
ITGA2B		5	5	1066	0.5%	No
ITGA3		7	6	1066	0.6%	No
BOD1L2		2	2	1066	0.2%	No
ITGA4		8	8	1066	0.8%	No
OST4		1	1	1066	<0.1%	No
ITGA5		6	5	1066	0.5%	No
DYNAP		1	1	1066	<0.1%	No
ITGA7		6	5	1066	0.5%	No
KCTD1		1	1	1066	<0.1%	No
METTL24		2	2	1066	0.2%	No
ITGB3		6	6	1066	0.6%	No
ITGB4		12	12	1066	1.1%	No
ITGB5		3	3	1066	0.3%	No
ITGB6		7	6	1066	0.6%	No
ITGB7		3	3	1066	0.3%	No
CDKN3		2	2	1066	0.2%	No
YIPF7		6	6	1066	0.6%	No
FRYL		17	14	1066	1.3%	No
FPR3		6	6	1066	0.6%	No
CDKN1B		12	10	1066	0.9%	Yes
FPR2		2	2	1066	0.2%	No
CDKN1A		2	2	1066	0.2%	Yes
FPR1		2	2	1066	0.2%	No
CDK9		1	1	1066	<0.1%	No
FPGS		4	4	1066	0.4%	No
CDK8		2	2	1066	0.2%	Yes
FOSL2		2	2	1066	0.2%	No
FOSB		4	4	1066	0.4%	No
ITGAV		11	10	1066	0.9%	No
ITGAX		13	12	1066	1.1%	No
ITGB1		5	5	1066	0.5%	No
ITGB2		10	10	1066	0.9%	No
BOD1L1		25	20	1066	1.9%	No
RNF175		1	1	1066	<0.1%	No
CD52		2	2	1066	0.2%	No
TAS2R43		3	3	1066	0.3%	No
CDS1		3	3	1066	0.3%	No
TAS2R41		1	1	1066	<0.1%	No
TAS2R40		2	2	1066	0.2%	No
CDR2		4	3	1066	0.3%	No
CDR1		2	2	1066	0.2%	No
CDO1		2	2	1066	0.2%	No
ITGB8		5	5	1066	0.5%	No
ITIH1		9	8	1066	0.8%	No
ITIH2		5	3	1066	0.3%	No
ITIH3		6	6	1066	0.6%	No
TAS2R19		5	5	1066	0.5%	No
TAS2R30		1	1	1066	<0.1%	No
TAS2R46		3	3	1066	0.3%	No
TAS2R31		6	6	1066	0.6%	No
CEBPE		1	1	1066	<0.1%	No
TAS2R50		2	2	1066	0.2%	No
TAS2R20		1	1	1066	<0.1%	No
CEACAM5		4	4	1066	0.4%	No
CLGN		1	1	1066	<0.1%	No
CDX4		4	3	1066	0.3%	No
CDX2		1	1	1066	<0.1%	Yes
RDH8		2	2	1066	0.2%	No
CARD18		1	1	1066	<0.1%	No
CES1		3	3	1066	0.3%	No
FXN		1	1	1066	<0.1%	No
CENPF		22	19	1066	1.8%	No
CENPE		30	26	1066	2.4%	No
ENPP5		5	5	1066	0.5%	No
CENPC		11	8	1066	0.8%	No
PRDM4		6	6	1066	0.6%	No
PRDM5		6	6	1066	0.6%	No
CENPB		2	2	1066	0.2%	No
TXNRD3		2	2	1066	0.2%	No
CEL		8	7	1066	0.7%	No
HNRNPUL1		7	7	1066	0.7%	No
MICALL1		6	6	1066	0.6%	No
TUBGCP6		9	8	1066	0.8%	No
RPP14		1	1	1066	<0.1%	No
ATE1		1	1	1066	<0.1%	No
RIMBP3		3	3	1066	0.3%	No
PTCHD1		13	12	1066	1.1%	No
KATNA1		3	3	1066	0.3%	No
KRR1		2	2	1066	0.2%	No
SSC5D		10	9	1066	0.8%	No
PRDM7		3	3	1066	0.3%	No
SHC2		3	3	1066	0.3%	No
HMSD		2	1	1066	<0.1%	No
CTSC		1	1	1066	<0.1%	No
UHRF2		5	5	1066	0.5%	No
CFL2		1	1	1066	<0.1%	No
CFL1		1	1	1066	<0.1%	No
CETP		3	3	1066	0.3%	No
KIAA1549L		20	17	1066	1.6%	No
CETN3		1	1	1066	<0.1%	No
BTN3A1		6	6	1066	0.6%	No
BTN3A2		5	5	1066	0.5%	No
FRG2B		4	4	1066	0.4%	No
CETN2		1	1	1066	<0.1%	No
CETN1		1	1	1066	<0.1%	No
STRIP1		6	6	1066	0.6%	No
EMILIN2		4	4	1066	0.4%	No
MYLK2		7	6	1066	0.6%	No
OBSCN		53	44	1066	4.1%	No
CIT		20	19	1066	1.8%	No
HIBADH		4	4	1066	0.4%	No
ALG2		2	2	1066	0.2%	No
MAGEB10		5	5	1066	0.5%	No
TRIM5		7	5	1066	0.5%	No
EMILIN1		3	3	1066	0.3%	No
SYDE1		9	7	1066	0.7%	No
CEP43		5	2	1066	0.2%	Yes
CFTR		22	19	1066	1.8%	No
MAGT1		3	3	1066	0.3%	No
RBM48		1	1	1066	<0.1%	No
DCAF8L1		9	9	1066	0.8%	No
CEACAM8		4	4	1066	0.4%	No
CCDC112		4	4	1066	0.4%	No
UNC13C		27	24	1066	2.3%	No
CEACAM3		3	3	1066	0.3%	No
MALSU1		1	1	1066	<0.1%	No
CGA		2	2	1066	0.2%	No
EIF2AK4		11	10	1066	0.9%	No
FHIP1B		9	9	1066	0.8%	No
