Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
HGF		5	5	201	2.5%	Yes
KMT2A		5	4	201	2.0%	Yes
SMARCA4		4	4	201	2.0%	Yes
MCL1		2	2	201	1.0%	Yes
ATM		5	5	201	2.5%	Yes
FOXP1		2	2	201	1.0%	Yes
DOT1L		5	5	201	2.5%	Yes
FLCN		1	1	201	0.5%	Yes
ALK		4	4	201	2.0%	Yes
INPP4A		2	2	201	1.0%	Yes
MALT1		1	1	167	0.6%	Yes
FOXO1		3	3	167	1.8%	Yes
INPPL1		3	3	105	2.9%	Yes
YAP1		1	1	201	0.5%	Yes
PMS2		2	2	201	1.0%	Yes
IRS2		3	3	201	1.5%	Yes
LYN		3	3	105	2.9%	Yes
PDGFRA		2	2	201	1.0%	Yes
SH2D1A		2	2	201	1.0%	Yes
ALOX12B		3	2	201	1.0%	Yes
CARD11		3	3	201	1.5%	Yes
ARAF		2	2	201	1.0%	Yes
NOTCH1		9	8	201	4.0%	Yes
RRAS		1	1	105	1.0%	Yes
INSR		1	1	201	0.5%	Yes
NOTCH2		5	3	201	1.5%	Yes
NOTCH3		4	4	201	2.0%	Yes
MYCN		1	1	201	0.5%	Yes
NOTCH4		2	1	201	0.5%	Yes
CTCF		2	2	201	1.0%	Yes
MYD88		1	1	201	0.5%	Yes
IKBKE		1	1	201	0.5%	Yes
ABL1		1	1	201	0.5%	Yes
RXRA		1	1	105	1.0%	Yes
PIK3C2G		1	1	201	0.5%	Yes
RIT1		2	2	201	1.0%	Yes
NSD2		2	2	105	1.9%	Yes
AXIN1		4	4	201	2.0%	Yes
RECQL4		3	3	201	1.5%	Yes
AXIN2		1	1	201	0.5%	Yes
RICTOR		3	3	201	1.5%	Yes
MGA		3	3	167	1.8%	Yes
EPCAM		1	1	201	0.5%	Yes
MDM2		2	2	201	1.0%	Yes
ANKRD11		7	7	167	4.2%	Yes
HNF1A		1	1	201	0.5%	Yes
TCF3		1	1	167	0.6%	Yes
FLT4		3	3	201	1.5%	Yes
FLT3		5	4	201	2.0%	Yes
RPTOR		3	3	201	1.5%	Yes
CALR		1	1	167	0.6%	Yes
KMT2B		2	2	105	1.9%	Yes
TBX3		6	6	201	3.0%	Yes
PIK3CG		5	5	201	2.5%	Yes
PIK3R1		6	5	201	2.5%	Yes
PIK3R2		2	2	201	1.0%	Yes
SMAD2		1	1	201	0.5%	Yes
MDC1		2	2	201	1.0%	Yes
SMAD4		2	2	201	1.0%	Yes
TMPRSS2		1	1	201	0.5%	Yes
PAK1		1	1	201	0.5%	Yes
SDHA		1	1	201	0.5%	Yes
PIK3CA		66	66	201	32.8%	Yes
PDPK1		1	1	201	0.5%	Yes
PIK3CB		1	1	201	0.5%	Yes
PIM1		1	1	201	0.5%	Yes
NEGR1		1	1	167	0.6%	Yes
PARP1		1	1	201	0.5%	Yes
PIK3CD		5	3	201	1.5%	Yes
PTEN		8	8	201	4.0%	Yes
RHOA		3	3	201	1.5%	Yes
PLK2		1	1	201	0.5%	Yes
CIC		2	2	201	1.0%	Yes
RECQL		1	1	105	1.0%	Yes
RAD54L		4	2	201	1.0%	Yes
IRS1		3	3	201	1.5%	Yes
MAP2K1		1	1	201	0.5%	Yes
TCF7L2		2	2	167	1.2%	Yes
MAP2K2		3	3	201	1.5%	Yes
AMER1		3	3	201	1.5%	Yes
PTCH1		2	2	201	1.0%	Yes
KMT2C		15	15	201	7.5%	Yes
NF2		3	2	201	1.0%	Yes
NRAS		1	1	201	0.5%	Yes
TSC1		2	2	201	1.0%	Yes
SMYD3		1	1	105	1.0%	Yes
CDC73		1	1	201	0.5%	Yes
STAG2		5	5	201	2.5%	Yes
CTNNB1		1	1	201	0.5%	Yes
DROSHA		1	1	105	1.0%	Yes
SUFU		1	1	201	0.5%	Yes
NF1		17	17	201	8.5%	Yes
GRIN2A		7	6	201	3.0%	Yes
TEK		7	3	105	2.9%	Yes
NFE2L2		2	2	201	1.0%	Yes
TERT		4	4	201	2.0%	Yes
KLF4		2	2	201	1.0%	Yes
