Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
MYC		8	8	1418	0.6%	Yes
FOXP1		11	11	1418	0.8%	Yes
FLCN		5	5	1418	0.4%	Yes
INPP4A		14	14	1418	1.0%	Yes
MALT1		5	5	1230	0.4%	Yes
FOXO1		8	8	1230	0.7%	Yes
INPPL1		22	20	743	2.7%	Yes
YAP1		7	7	1418	0.5%	Yes
NOTCH1		32	31	1418	2.2%	Yes
MYCL		3	3	1418	0.2%	Yes
INSR		7	7	1418	0.5%	Yes
NOTCH2		43	40	1418	2.8%	Yes
NOTCH3		30	26	1418	1.8%	Yes
MYCN		7	7	1418	0.5%	Yes
NOTCH4		34	30	1418	2.1%	Yes
CTCF		29	27	1418	1.9%	Yes
MYD88		2	2	1418	0.1%	Yes
IRF4		2	2	1418	0.1%	Yes
IDH1		4	4	1418	0.3%	Yes
ANKRD11		30	28	1230	2.3%	Yes
HNF1A		8	7	1418	0.5%	Yes
STK40		3	3	1418	0.2%	Yes
TCF3		7	7	1230	0.6%	Yes
FLT4		19	19	1418	1.3%	Yes
CD274		5	4	1418	0.3%	Yes
FLT3		14	13	1418	0.9%	Yes
RPTOR		14	14	1418	1.0%	Yes
CHEK1		4	4	1418	0.3%	Yes
FLT1		9	9	1418	0.6%	Yes
VTCN1		2	2	1418	0.1%	Yes
CALR		4	4	1230	0.3%	Yes
ELOC		3	3	1230	0.2%	Yes
TBX3		62	58	1418	4.1%	Yes
IDH2		3	3	1418	0.2%	Yes
NPM1		1	1	1418	<0.1%	Yes
KDR		12	11	1418	0.8%	Yes
CTLA4		2	2	1418	0.1%	Yes
NEGR1		3	3	1230	0.2%	Yes
PTEN		97	89	1418	6.3%	Yes
PLK2		20	20	1418	1.4%	Yes
RECQL		2	2	743	0.3%	Yes
IRS1		14	12	1418	0.8%	Yes
REL		6	6	1418	0.4%	Yes
MAP2K1		8	7	1418	0.5%	Yes
TCF7L2		15	14	1230	1.1%	Yes
MAP2K2		5	5	1418	0.4%	Yes
PTCH1		9	9	1418	0.6%	Yes
KMT2C		116	104	1418	7.3%	Yes
NF2		9	7	1418	0.5%	Yes
NRAS		2	2	1418	0.1%	Yes
CDK6		2	2	1418	0.1%	Yes
CDK4		4	4	1418	0.3%	Yes
CDC73		13	12	1418	0.8%	Yes
STAG2		31	30	1418	2.1%	Yes
CTNNB1		6	6	1418	0.4%	Yes
DROSHA		6	6	743	0.8%	Yes
NF1		88	82	1418	5.8%	Yes
UPF1		2	2	743	0.3%	Yes
AGO2		4	4	743	0.5%	Yes
RET		15	13	1418	0.9%	Yes
NFE2L2		10	10	1418	0.7%	Yes
ETV6		3	2	1418	0.1%	Yes
CDKN2B		1	1	1418	<0.1%	Yes
ASXL2		10	10	1418	0.7%	Yes
CDKN2A		14	14	1418	1.0%	Yes
DCUN1D1		3	3	1418	0.2%	Yes
CDKN1B		21	21	1418	1.5%	Yes
CDKN1A		4	4	1418	0.3%	Yes
ETV1		11	11	1418	0.8%	Yes
CASP8		7	6	1418	0.4%	Yes
CDK8		6	6	1418	0.4%	Yes
CREBBP		28	25	1418	1.8%	Yes
MTOR		26	26	1418	1.8%	Yes
TET1		22	22	1418	1.6%	Yes
MYOD1		3	2	1418	0.1%	Yes
BCL6		10	10	1418	0.7%	Yes
SRC		5	5	1418	0.4%	Yes
PTP4A1		2	2	743	0.3%	Yes
NFKBIA		5	5	1230	0.4%	Yes
SYK		8	8	1418	0.6%	Yes
SMO		9	9	1418	0.6%	Yes
FGF4		4	4	1418	0.3%	Yes
IFNGR1		4	4	1418	0.3%	Yes
FGF3		4	4	1418	0.3%	Yes
DNAJB1		2	2	1230	0.2%	Yes
CD79A		2	2	1230	0.2%	Yes
CRKL		2	2	1418	0.1%	Yes
PNRC1		3	3	1418	0.2%	Yes
CD79B		4	3	1418	0.2%	Yes
IL7R		3	3	1418	0.2%	Yes
SMARCD1		3	3	1418	0.2%	Yes
CSDE1		6	5	743	0.7%	Yes
RAC1		3	3	1418	0.2%	Yes
PPP2R1A		8	8	1418	0.6%	Yes
RAD51B		2	1	1418	<0.1%	Yes
MSI1		1	1	743	0.1%	Yes
RAD51D		1	1	1418	<0.1%	Yes
NBN		3	3	1418	0.2%	Yes
RAD52		3	3	1418	0.2%	Yes
RAF1		6	6	1418	0.4%	Yes
FGFR4		23	22	1418	1.6%	Yes
FGFR2		19	15	1418	1.1%	Yes
FGFR3		4	4	1418	0.3%	Yes
CEBPA		4	4	1230	0.3%	Yes
FGFR1		12	12	1418	0.8%	Yes
RUNX1		47	43	1418	3.0%	Yes
HLA-B		4	4	743	0.5%	Yes
HLA-A		2	2	1230	0.2%	Yes
CBFB		36	36	1418	2.5%	Yes
IL10		3	3	1418	0.2%	Yes
RAD21		8	7	1230	0.6%	Yes
CBL		12	11	1418	0.8%	Yes
MSH2		10	10	1418	0.7%	Yes
RAD51		5	5	1418	0.4%	Yes
MSH3		5	5	743	0.7%	Yes
RAD51C		4	3	1418	0.2%	Yes
PTPN11		3	3	1418	0.2%	Yes
EPAS1		4	4	743	0.5%	Yes
EP300		33	30	1418	2.1%	Yes
FH		8	8	1418	0.6%	Yes
IGF1R		26	25	1418	1.8%	Yes
MEF2B		2	2	1418	0.1%	Yes
SH2B3		13	13	1230	1.1%	Yes
BCL2L11		2	2	1418	0.1%	Yes
